sensor,scenario,model,dog_id,accuracy
Back,A+G,LDA,16,0.942
Back,A+G,LDA,18,0.89
Back,A+G,LDA,19,0.775
Back,A+G,LDA,20,0.892
Back,A+G,LDA,21,0.888
Back,A+G,LDA,22,0.891
Back,A+G,LDA,23,0.961
Back,A+G,LDA,25,0.971
Back,A+G,LDA,26,0.959
Back,A+G,LDA,27,0.949
Back,A+G,LDA,28,0.942
Back,A+G,LDA,29,0.847
Back,A+G,LDA,30,0.771
Back,A+G,LDA,33,0.812
Back,A+G,LDA,34,0.895
Back,A+G,LDA,36,0.951
Back,A+G,LDA,39,0.832
Back,A+G,LDA,41,0.973
Back,A+G,LDA,43,0.977
Back,A+G,LDA,44,0.82
Back,A+G,LDA,45,0.908
Back,A+G,LDA,46,0.887
Back,A+G,LDA,47,0.837
Back,A+G,LDA,48,0.953
Back,A+G,LDA,49,0.807
Back,A+G,LDA,51,0.574
Back,A+G,LDA,52,0.795
Back,A+G,LDA,53,0.883
Back,A+G,LDA,54,0.96
Back,A+G,LDA,55,0.82
Back,A+G,LDA,56,0.98
Back,A+G,LDA,57,0.854
Back,A+G,LDA,58,0.964
Back,A+G,LDA,59,0.969
Back,A+G,LDA,60,0.986
Back,A+G,LDA,61,0.815
Back,A+G,LDA,63,0.928
Back,A+G,LDA,65,0.998
Back,A+G,LDA,66,0.734
Back,A+G,LDA,67,0.892
Back,A+G,LDA,68,0.826
Back,A+G,LDA,70,0.806
Back,A+G,LDA,72,0.985
Back,A+G,LDA,73,0.994
Back,A+G,LDA,74,0.931
Back,A+G,QDA,16,0.964
Back,A+G,QDA,18,0.937
Back,A+G,QDA,19,0.773
Back,A+G,QDA,20,0.909
Back,A+G,QDA,21,0.886
Back,A+G,QDA,22,0.901
Back,A+G,QDA,23,0.98
Back,A+G,QDA,25,0.961
Back,A+G,QDA,26,0.93
Back,A+G,QDA,27,0.979
Back,A+G,QDA,28,0.976
Back,A+G,QDA,29,0.874
Back,A+G,QDA,30,0.848
Back,A+G,QDA,33,0.789
Back,A+G,QDA,34,0.897
Back,A+G,QDA,36,0.92
Back,A+G,QDA,39,0.694
Back,A+G,QDA,41,0.842
Back,A+G,QDA,43,0.978
Back,A+G,QDA,44,0.962
Back,A+G,QDA,45,0.911
Back,A+G,QDA,46,0.886
Back,A+G,QDA,47,0.866
Back,A+G,QDA,48,0.946
Back,A+G,QDA,49,0.843
Back,A+G,QDA,51,0.716
Back,A+G,QDA,52,0.785
Back,A+G,QDA,53,0.883
Back,A+G,QDA,54,0.951
Back,A+G,QDA,55,0.848
Back,A+G,QDA,56,0.994
Back,A+G,QDA,57,0.878
Back,A+G,QDA,58,0.946
Back,A+G,QDA,59,0.938
Back,A+G,QDA,60,0.96
Back,A+G,QDA,61,0.96
Back,A+G,QDA,63,0.903
Back,A+G,QDA,65,0.988
Back,A+G,QDA,66,0.756
Back,A+G,QDA,67,0.895
Back,A+G,QDA,68,0.91
Back,A+G,QDA,70,0.768
Back,A+G,QDA,72,0.985
Back,A+G,QDA,73,0.951
Back,A+G,QDA,74,0.918
Back,A+G,SVM,16,0.973
Back,A+G,SVM,18,0.991
Back,A+G,SVM,19,0.888
Back,A+G,SVM,20,0.933
Back,A+G,SVM,21,0.923
Back,A+G,SVM,22,0.945
Back,A+G,SVM,23,0.961
Back,A+G,SVM,25,0.965
Back,A+G,SVM,26,0.986
Back,A+G,SVM,27,0.983
Back,A+G,SVM,28,0.975
Back,A+G,SVM,29,0.955
Back,A+G,SVM,30,0.824
Back,A+G,SVM,33,0.879
Back,A+G,SVM,34,0.977
Back,A+G,SVM,36,0.964
Back,A+G,SVM,39,0.815
Back,A+G,SVM,41,0.967
Back,A+G,SVM,43,0.979
Back,A+G,SVM,44,0.866
Back,A+G,SVM,45,0.902
Back,A+G,SVM,46,0.977
Back,A+G,SVM,47,0.945
Back,A+G,SVM,48,0.968
Back,A+G,SVM,49,0.859
Back,A+G,SVM,51,0.711
Back,A+G,SVM,52,0.795
Back,A+G,SVM,53,0.978
Back,A+G,SVM,54,0.965
Back,A+G,SVM,55,0.866
Back,A+G,SVM,56,0.992
Back,A+G,SVM,57,0.907
Back,A+G,SVM,58,0.954
Back,A+G,SVM,59,0.959
Back,A+G,SVM,60,0.963
Back,A+G,SVM,61,0.972
Back,A+G,SVM,63,0.924
Back,A+G,SVM,65,0.975
Back,A+G,SVM,66,0.782
Back,A+G,SVM,67,0.91
Back,A+G,SVM,68,0.953
Back,A+G,SVM,70,0.853
Back,A+G,SVM,72,0.993
Back,A+G,SVM,73,0.996
Back,A+G,SVM,74,0.972
Back,A+G,Tree,16,0.948
Back,A+G,Tree,18,0.959
Back,A+G,Tree,19,0.877
Back,A+G,Tree,20,0.893
Back,A+G,Tree,21,0.909
Back,A+G,Tree,22,0.933
Back,A+G,Tree,23,0.944
Back,A+G,Tree,25,0.937
Back,A+G,Tree,26,0.977
Back,A+G,Tree,27,0.988
