sensor,scenario,model,dog_id,accuracy
Back,A+G,NN,16,0.9218241042345277
Back,A+G,NN,18,0.9961240310077519
Back,A+G,NN,19,0.8974358974358975
Back,A+G,NN,20,0.9500713266761769
Back,A+G,NN,21,0.9394939493949395
Back,A+G,NN,22,0.9376590330788804
Back,A+G,NN,23,0.9522988505747126
Back,A+G,NN,25,0.9819651741293532
Back,A+G,NN,26,0.988031119090365
Back,A+G,NN,27,0.9722976643128735
Back,A+G,NN,28,0.9949302915082383
Back,A+G,NN,29,0.9698825931597754
Back,A+G,NN,30,0.8331441543700341
Back,A+G,NN,33,0.894141829393628
Back,A+G,NN,34,0.972972972972973
Back,A+G,NN,36,0.9791666666666666
Back,A+G,NN,39,0.8596590909090909
Back,A+G,NN,41,0.9562264150943396
Back,A+G,NN,43,0.9778869778869779
Back,A+G,NN,44,0.9714599341383096
Back,A+G,NN,45,0.8995391705069125
Back,A+G,NN,46,0.9663394109396914
Back,A+G,NN,47,0.9608158883521203
Back,A+G,NN,48,0.9941050375133976
Back,A+G,NN,49,0.8493150684931506
Back,A+G,NN,51,0.8103651354534747
Back,A+G,NN,52,0.7925531914893617
Back,A+G,NN,53,0.9434954007884363
Back,A+G,NN,54,0.9701754385964912
Back,A+G,NN,55,0.7929577464788733
Back,A+G,NN,56,0.993704092339979
Back,A+G,NN,57,0.9059304703476483
Back,A+G,NN,58,0.9667812142038946
Back,A+G,NN,59,0.9014830508474576
Back,A+G,NN,60,0.9656652360515021
Back,A+G,NN,61,0.8765957446808511
Back,A+G,NN,63,0.9119119119119119
Back,A+G,NN,65,0.9727047146401985
Back,A+G,NN,66,0.7189605389797883
Back,A+G,NN,67,0.8752783964365256
Back,A+G,NN,68,0.9786276715410573
Back,A+G,NN,70,0.8335005015045135
Back,A+G,NN,72,0.9749518304431599
Back,A+G,NN,73,0.9910793933987511
Back,A+G,NN,74,0.9719137818419333
Back,A only,NN,16,0.9256243213897937
Back,A only,NN,18,0.9186046511627907
Back,A only,NN,19,0.9122807017543859
Back,A only,NN,20,0.9400855920114123
Back,A only,NN,21,0.9130913091309131
Back,A only,NN,22,0.9376590330788804
Back,A only,NN,23,0.9540229885057471
Back,A only,NN,25,0.9769900497512438
Back,A only,NN,26,0.9844404548174746
Back,A only,NN,27,0.9815317762085823
Back,A only,NN,28,0.9594423320659062
Back,A only,NN,29,0.9438489025012762
Back,A only,NN,30,0.753688989784336
Back,A only,NN,33,0.8612538540596094
Back,A only,NN,34,0.9724214009928296
Back,A only,NN,36,0.9836309523809523
Back,A only,NN,39,0.8835227272727273
Back,A only,NN,41,0.9426415094339623
Back,A only,NN,43,0.9783783783783784
Back,A only,NN,44,0.9703622392974753
Back,A only,NN,45,0.8815668202764977
Back,A only,NN,46,0.9256661991584852
Back,A only,NN,47,0.9479334406870639
Back,A only,NN,48,0.969989281886388
Back,A only,NN,49,0.8555417185554172
Back,A only,NN,51,0.8633686690223793
Back,A only,NN,52,0.7832446808510638
Back,A only,NN,53,0.8988173455978975
Back,A only,NN,54,0.9719298245614035
Back,A only,NN,55,0.8661971830985915
